序号,描述,字,位
1,冷凝器进水温度传感器故障,130,1
2,蒸发器进水温度传感器故障,130,2
3,供液温度传感器故障,130,3
4,冷凝器出水温度传感器故障,130,4
5,1#压缩机冷凝器结冰保护,131,4
6,2#压缩机冷凝器结冰保护,131,5
7,1#压缩机排气温度高,131,10
8,2#压缩机排气温度高,131,11
9,蒸发器进水温度传感器故障（回水重设启用）,131,14
10,蒸发器压力过低 - 1#回路限制增载,132,0
11,蒸发器压力过低 - 2#回路限制增载,132,1
12,蒸发器压力过低 –1#回路减载,132,5
13,蒸发器压力过低 –2#回路减载,132,6
14,1#压缩机电机电流高减载,132,9
15,2#压缩机电机电流高减载,132,10
16,1#压缩机蒸发器结冰保护,132,13
17,2#压缩机蒸发器结冰保护,132,14
18,1#压缩机电流过载,133,5
19,2#压缩机电流过载,133,6
20,1#压缩机电机电流不平衡,133,9
21,2#压缩机电机电流不平衡,133,10
22,1#压缩机电机电流过低,133,13
23,2#压缩机电机电流过低,133,14
24,1#压缩机电机温度高,134,4
25,2#压缩机电机温度高,134,5
26,1#压缩机缺相,134,8
27,2#压缩机缺相,134,9
28,1#压缩机反相,134,12
29,2#压缩机反相,134,13
30,1#压缩机过电压,135,0
31,2#压缩机过电压,135,1
32,1#压缩机欠电压,135,4
33,2#压缩机欠电压,135,5
34,1#冷凝压力传感器故障,135,9
35,2#冷凝压力传感器故障,135,10
36,无冷却水流,135,13
37,1#冷凝器压力过高,135,15
38,2#冷凝器压力过高,136,0
39,1#压缩机停机时电机电流高,136,3
40,2#压缩机停机时电机电流高,136,4
41,1#压缩机排气温度传感器故障,136,7
42,2#压缩机排气温度传感器故障,136,8
43,1#压缩机排气温度高报警,136,11
44,2#压缩机排气温度高报警,136,12
45,无冷冻水流,137,0
46,1#回路蒸发压力过低,137,3
47,2#回路蒸发压力过低,137,4
48,1#回路蒸发压力传感器故障,137,8
49,2#回路蒸发压力传感器故障,137,9
50,1#接地故障保护,137,12
51,2#接地故障保护,137,13
52,经济器压力传感器故障,138,0
53,IGV 位置传感器故障,138,2
54,DDC 位置传感器故障,138,4
55,排气过热度低,138,6
56,提升压力低,138,8
57,热气旁通位置传感器故障,138,10
58,1#蒸发器出水温度传感器故障,139,2
59,2#蒸发器出水温度传感器故障,139,3
60,1#回路机械高压,139,7
61,2#回路机械高压,139,8
62,1#压缩机净油压过低,139,11
63,2#压缩机净油压过低,139,12
64,1#压缩机供油温度过高,139,15
65,2#压缩机供油温度过高,140,0
66,1#压缩机供油温度过低,140,3
67,2#压缩机供油温度过低,140,4
68,1#压缩机供油温度传感器故障,140,7
69,2#压缩机供油温度传感器故障,140,8
70,1#压缩机供油压力传感器故障,141,3
71,2#压缩机供油压力传感器故障,141,4
72,1#压缩机油槽压力传感器故障,141,7
73,2#压缩机油槽压力传感器故障,141,8
74,1#压缩机油槽温度传感器故障,141,11
75,2#压缩机油槽温度传感器故障,141,12
76,1#压缩机启动柜故障,142,0
77,2#压缩机启动柜故障,142,1
78,1#压缩机启动未转换,142,4
79,2#压缩机启动未转换,142,5
80,1#压缩机油压差低-启动时,142,8
81,2#压缩机油压差低-启动时,142,9
82,1#压缩机喘振-运行时,143,0
83,2#压缩机喘振-运行时,143,1
84,1#压缩机喘振-启动时,143,4
85,2#压缩机喘振-启动时,143,5
86,1#压缩机吸气温度传感器故障,143,8
87,2#压缩机吸气温度传感器故障,143,9
88,1#压缩机导叶未关闭-无法启动,143,12
89,2#压缩机导叶未关闭-无法启动,143,13
